103102 - 0 for period 133 to 144
103102, 133, Brought Forward Balance,,,,12509129.9
103102,133, Receipt,443,01/01/2011,12000,,Opd/Ipd - Patient fees &amp; Amb. Income, Rv12651,
103102,133, Receipt,444,03/01/2011,95500,,Opd/Ipd - Patient fees &amp; Amb. Income, Rv12652,
103102,133, Receipt,446,04/01/2011,26500,,Opd/Ipd - Patient fees &amp; Amb. Income, Rv12653,
103102,133, Payment - GL,172,04/01/2011,,37000,Sofia Humri - Diesel for Cr. T 132 AQN,
103102,133, Receipt,447,05/01/2011,42000,,Opd/Ipd - Patient fees &amp; Amb. Income, Rv12654,
103102,133, Payment - GL,173,05/01/2011,,2000,Sofia Humri - Bus fare for Katesh safari, Pv1002,
103102,133, Receipt,448,06/01/2011,19000,,Opd/Ipd - Patient fees &amp; Amb. Income, Rv12655,
103102,133, Receipt,705,07/01/2011,64400,,Opd/IPD - Patient fees &amp; Amb Income, Rv12656.,
103102,133, Receipt,449,08/01/2011,28500,,Opd/Ipd - Patient fees &amp; Amb. Income, Rv12657,
103102,133, Receipt,725,08/01/2011,,33000,Opd/IPD - Patient fees, rv13107,
103102,133, Payment - GL,174,09/01/2011,,37000,Sofia Humri - Diesel for Cr. T 132 AQN, pv1003,
103102,133, Payment - GL,189,09/01/2011,,9000,Sofia Humri - Bus fare for Haydom Safari, Pv1016,
103102,133, Receipt,450,10/01/2011,126000,,Opd/Ipd - Patient fees &amp; Amb. Income, Rv12658,
103102,133, Payment - GL,176,10/01/2011,,36400,Sofia Humri - Diesel for Cr. T 132 AQN, pv1004,
103102,133, Receipt,451,11/01/2011,16000,,Opd/Ipd - Patient fees &amp; Amb. Income, Rv12659,
103102,133, Payment - GL,177,11/01/2011,,13000,Sofia Humri - Stationary expenses, Pv1005,
103102,133, Payment - GL,179,11/01/2011,,1000,Sofia Humri - Magazines for packaging medicines, Pv1006,
103102,133, Receipt,452,12/01/2011,13000,,Opd/Ipd - Patient fees &amp; Amb. Income, Rv12660,
103102,133, Receipt,453,13/01/2011,15500,,Opd/Ipd - Patient fees &amp; Amb. Income, Rv12661,
103102,133, Payment - GL,181,13/01/2011,,18500,Sofia Humri - Diesel for Cr. T 132 AQN, pv1008,
103102,133, Receipt,454,14/01/2011,63400,,Opd/Ipd - Patient fees &amp; Amb. Income, Rv12662,
103102,133, Receipt,455,15/01/2011,45100,,Opd/Ipd - Patient fees &amp; Amb. Income, Rv12663,
103102,133, Receipt,456,16/01/2011,14500,,Opd/Ipd - Patient fees &amp; Amb. Income, Rv12664,
103102,133, Receipt,457,17/01/2011,42500,,Opd/Ipd - Patient fees &amp; Amb. Income, Rv12665,
103102,133, Payment - GL,180,17/01/2011,,11100,Sofia Humri - Sugar, Tea bags &amp; rice, Pv1007,
103102,133, Payment - GL,182,17/01/2011,,26000,Sofia Humri - Kerosine, Pv1009,
103102,133, Receipt,458,18/01/2011,133500,,Opd/Ipd - Patient fees &amp; Amb. Income, Rv12666,
