301007 - 1 for period 55 to 55
301007,55, Receipt,14801,01/08/2013,,118000,OPD - consultation fee rv304092,OP department
301007,55, Receipt,14876,02/08/2013,,130500,OPD consultation fees rv304403,OP department
301007,55, Receipt,14878,04/08/2013,,14500,OPD consultation fees rv304405,OP department
301007,55, Receipt,14879,04/08/2013,,161000,reception - medicine,mortuary,ambul kitandrv304406,Inpatient Department
301007,55, Receipt,14880,05/08/2013,,167000,OPD consultation fees rv304407,OP department
301007,55, Receipt,14881,06/08/2013,,262000,OPD consultation fees rv304408,OP department
301007,55, Receipt,14883,06/08/2013,,89000,reception - medicine,mortuary,ambul kitandrv304410,Inpatient Department
301007,55, Receipt,14884,07/08/2013,,115500,OPD consultation fees rv304411,OP department
301007,55, Receipt,14885,11/08/2013,,237500,OPD consultation fees rv304412,OP department
301007,55, Receipt,14888,11/08/2013,,295000,reception - medicine,mortuary,ambul kitandrv304415,Inpatient Department
301007,55, Receipt,14889,12/08/2013,,179000,OPD consultation fees rv304416,OP department
301007,55, Receipt,14891,12/08/2013,,157000,reception - medicine,mortuary,ambul kitandrv304418,Inpatient Department
301007,55, Receipt,14825,13/08/2013,,297500,Opd  Consultation fee  rv 304905/2013,OP department
301007,55, Receipt,14893,13/08/2013,,94000,reception - medicine,mortuary,ambul kitandrv304420,Inpatient Department
301007,55, Receipt,14894,14/08/2013,,124500,OPD consultation fees rv304421,OP department
301007,55, Receipt,14896,14/08/2013,,128000, 	reception - medicine,mortuary,ambul kitandrv304422,Inpatient Department
301007,55, Receipt,14868,15/08/2013,,134500,Opd  Consultation fee  rv 304914/2013,OP department
301007,55, Receipt,14902,16/08/2013,,246500,Opd  Consultation fee  rv 304425,OP department
301007,55, Receipt,14905,16/08/2013,,8000,Tarmo Qaydami Consultation bed med rv304921/2013,Inpatient Department
301007,55, Receipt,14907,16/08/2013,,12000,Opd  Consultation fee  rv 304427/2013,OP department
301007,55, Receipt,14909,18/08/2013,,228000,Recept medicine Ambul. Mort. bed.cons rv304429/13,OP department
301007,55, Receipt,14910,19/08/2013,,179000,Opd  Consultation fee  rv 304430/2013,OP department
301007,55, Receipt,14912,19/08/2013,,134000,Recept medicine Amb. Mort.bed.consul.304432/2013,Inpatient Department
301007,55, Receipt,14913,20/08/2013,,226000,Opd  Consultation fee  rv 304433/2013,OP department
301007,55, Receipt,14915,20/08/2013,,102000,Recept medicine Amb. Mort.bed.consul.304436/2013,OP department
301007,55, Receipt,14937,21/08/2013,,112500,OPD - consultation fee rv304437,OP department
301007,55, Receipt,14941,21/08/2013,,132000,Reception - medicine, mort,cons/ambul,bed rv304438,Inpatient Department
301007,55, Receipt,14945,22/08/2013,,107500,Opd  Consultation fee  rv 304440/2013,OP department
301007,55, Receipt,14947,22/08/2013,,85500,Recept medicine Ambul. Mort. bed.cons rv304442/13  ,Inpatient Department
301007,55, Receipt,14974,22/08/2013,,19500,OPD - consultation fee rv305651,OP department
301007,55, Receipt,14948,23/08/2013,,223500,Opd  Consultation fee  rv 304443/2013,OP department
301007,55, Receipt,14949,24/08/2013,,9000,Opd  Consultation fee  rv 304444/2013,OP department
301007,55, Receipt,14951,25/08/2013,,320000, 	Recept medicine Ambul. Mort. bed.cons rv304446/13,Inpatient Department
301007,55, Receipt,14970,26/08/2013,,181000,OPD - consultation fee rv304447,OP department
301007,55, Receipt,14972,26/08/2013,,137000,Reception - medicine, mort,cons/ambul,bed rv304449,Inpatient Department
301007,55, Receipt,14973,27/08/2013,,263000,OPD - consultation fee rv304450,OP department
301007,55, Receipt,14976,27/08/2013,,141000, 	Reception - medicine, mort,cons/ambul,bed rv305653,Inpatient Department
301007,55, Receipt,14978,28/08/2013,,100500,OPD - consultation fee rv305655,OP department
301007,55, Receipt,14980,28/08/2013,,110000,Reception - medicine, mort,cons/ambul,bed rv305657,Inpatient Department
301007,55, Receipt,14998,29/08/2013,,103500,OPD - consultation fee rv305658,OP department
301007,55, Receipt,15001,29/08/2013,,117000,Reception - medicine, mort,cons/ambul,bed rv305661,Inpatient Department
301007,55, Receipt,15002,30/08/2013,,203500,OPD - consultation fee rv305662,OP department
301007,55, Receipt,15003,31/08/2013,,9000,OPD - consultation fee rv305663,OP department
301007,55, Receipt,15007,31/08/2013,,94000,Reception - medicine, mort,cons/ambul,bed rv305666,Inpatient Department
301007, 55, Period Total,,,,6309000
301007,55, Total Period Movement,,,,6309000
